subject,title,subject_summary,rating
1749,战国BASARA OVA,2010年1月6日发行的最终卷DVD第7部是第一季未在电视上播出的第13集的原始剧集。舞台转移到西边的四国和中国地区，描绘了前田利家和松、长宗我部元亲、前田启司、森元就的活动。,6.846808511
7056,银魂精选集,"《银魂制作集》（日语：Yorinuki Gintama-san）是空知郎秀明的平行作品《银魂》同名动画集（由少年 JUMP（日本集英社）出版）的编辑版本。
2010年4月5日至2011年3月28日，美国每晚6:00至6:30，在东京电视台（日本地区）播出，51集。

概括
2006年4月4日至2010年3月25日，原版多版出版。
诗选集（日语：鲣江赖贯桑）。

此外，新版电影《银幕瓦片版》已于2010年4月24日上映（5月17日上映）。

截至2010年7月，在NHK等电视台，整个画面都是16：9的画面。
东京东电视台于2010年4月播出，播出时间为16点9分。
原版《幽游》是根据4:3制作的，原版于第4年播出。
该系列版本未切割，长度较长，因此具有 16:9 比例的上下边框屏幕。

OPENING、OP、ENDING、ED部分、4月、5月第一场公演的精选片段、
6月推出的新视频（实际上相当于美国银魂TV动画版原版制作的16:9屏幕）。
除了幽游源宇的视频版外，“银幕河原版”也以16:9的屏幕播出。
关于片头歌和一尾歌、详细请参考主歌段落。

翔英介已经不再使用的原版原版在A部第一部的右下角。
在某些情况下，OP发布时，歌曲的长度会被缩短，原版的长度也会被缩短。
除此之外，雨雨反复传播，以下部分合集将不再重新发布（但7月5日、10月11日、1月31日播出的合集数量将另行公布）
10月4日，最后一期播出，新版伊比莎·怀特，
当天，班主任老师的开场曲栗山千明演唱了伴奏曲。
via：zh.wikipedia.org/wiki/银魂精选",7.895683453
37615,蓝宝石之谜 HD修复版,"《Nadia》（1990）的高清数字编辑版本。

《冒险少女》是儒家和普通作家创作的知名小说，由GAINAX出版，《海之海：万里》是原作者制作、编剧的电视动画。庵野英明，由原作者撰写。本作品全39集于1990年4月13日至1991年3月29日在NHK播出电视节目后，于今年春季上映。",8.306010929
72299,东方幼灵梦,"“这是一个年轻的食人怪物的故事，也是一个从未描述过人类的巫女的故事。”
《东方童梦》是由Joyful编写的成人同人系列游戏《东方Project》的副作书。 主要故事是花花公子的梦想、古代巫女（梦中的少女）、妖怪和妖怪的童年故事。
尚不清楚绘画风格是根据当前情况而定，让参观这座城市的人们感到足够温暖，感受到温暖的气氛，故事结束后，将举办展览和活动。
这是东方大师推荐的一部充满爱与关怀的作品。",8.379084967
87389,未确认进行式 OVA,Blu-ray & DVD vol.1 特典,6.603030303
182792,少女与战车 爱里寿战争！,《少女与战车剧场版》续集故事,7.15776699
204641,无畏魔女 彼得堡大战略,"《勇敢的魔女》第13集《彼得堡大战略》将于2017年活动上映！
第13集的故事发生在《勇敢的女巫》主线剧情第7集和第8集之间，第501联合战斗机联队与第502联队的常规成员一起来到彼得堡执行补给任务。也预定出现。 剧情简介也已公开，快来看看吧！
另外，本次第13集预计将收录在已经公开的《勇敢的魔女》Blu-ray＆DVD第7卷的“特别版”中，请不要错过。 ！
详细信息将于稍后发布！我一直在等待下一个报告！",6.946666667
326,攻壳机动队 S.A.C. 2nd GIG,"就世界而言，我们不可能照出当今社会的镜子。
也可以在不改变人性的情况下展现人性，改变人体的外观。
一个人可以拥有的仇恨是没有限制的，而一个人的身体和社会需求已经改变，人类的欲望已经延伸，光明也已经延伸，所以这种相互排斥的犯罪仍然存在。
《尤拉》第9卷特别版：公共安全第9章，这是日本社会的法律。",9.167376264
253,星际牛仔,"2021年，超光速导航技术实现，人类已经能够在太阳系内自由行动，但由于设计失败，各种技术被开发出来，月球球体爆炸，创造了无数的月球球体碎片被吸入地球，完成了前所未有的灾难。人类彼此分离的地球的存在和降临，从一开始就在泰太阳星系的各个部分建立起来。结果，国家、政府等对机构没有控制权，安全问题也是一个问题。由于人手不足，抓捕犯罪分子，抓捕犯罪分子，钱被退还。
历史 (SPIKE) Wakazu (JET) Kozo 驾驶驾驶飞 驾驶犯犯犯 宇 宇 宇 宇 宇 宇 宇 宇 宇 宇 宇宇在地球上两个人的行程中，我了解到我要付出很多钱，我的生活的美丽（Faye），我的生活的美丽（Ed），以及我在高知商业的朋友数量（艾因）。在这种情况下，四人一狗在宇宙中玩耍，在自我和他人的生活中，各种悲剧交织在一起，每个人的过去都由故事书写。",9.135989665
324,攻壳机动队 STAND ALONE COMPLEX,在公根2030的世界里，改造人、仿生人、机器人等存在极为盛行。主角草薙素子是科技界的佼佼者：她拥有巨大的身体，身体的其他部分都是机械装置。在这个高度科技化的世界里，随着人类改变自己的身体，身体的每个部分都会在长期的存在中发生变化”）。这是这部作品的世界基础。 当然，人类阶级的社会电池已经变得多模态，但不可能创造出物理材料。日本公安系统将高级犯罪分子定义为技术高超、有能力抓获优质电的人。公安9区是最严重的犯罪分子：任何时候都是政府中层官员，任何时候都是投机分子，其他时候则有自己的私人同伴陪伴；设施内的每一位员工。,9.088820653
